Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Length (m),Width (m),Vehicle ID,Q_Veh_ID,TDM (s),InDepth (m),EI (m/s)
0.0,-1.7452,-26.763,1.1153,1.5674,4.72,1.83,1,2,,,
0.0,-84.3202,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.01,-1.745,-26.7515,1.1244,1.5674,4.72,1.83,1,2,,,
0.01,-84.1534,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.02,-1.7449,-26.74,1.1335,1.5673,4.72,1.83,1,2,,,
0.02,-83.9865,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.03,-1.7448,-26.7286,1.1427,1.5673,4.72,1.83,1,2,,,
0.03,-83.8197,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.04,-1.7446,-26.717,1.152,1.5672,4.72,1.83,1,2,,,
0.04,-83.6528,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.05,-1.7445,-26.7056,1.1612,1.5671,4.72,1.83,1,2,,,
0.05,-83.4861,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.06,-1.7444,-26.6937,1.1707,1.5671,4.72,1.83,1,2,,,
0.06,-83.3193,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.07,-1.7443,-26.682,1.1802,1.567,4.72,1.83,1,2,,,
0.07,-83.1526,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.08,-1.7441,-26.67,1.1897,1.567,4.72,1.83,1,2,,,
0.08,-82.9859,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.09,-1.744,-26.6581,1.1992,1.5669,4.72,1.83,1,2,,,
0.09,-82.8192,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.1,-1.7438,-26.6459,1.2089,1.5668,4.72,1.83,1,2,,,
0.1,-82.6525,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.11,-1.7437,-26.6338,1.2186,1.5668,4.72,1.83,1,2,,,
0.11,-82.4857,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.12,-1.7436,-26.6214,1.2283,1.5667,4.72,1.83,1,2,,,
0.12,-82.3189,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.13,-1.7434,-26.6094,1.2377,1.5666,4.72,1.83,1,2,,,
0.13,-82.1522,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.14,-1.7433,-26.5969,1.2475,1.5666,4.72,1.83,1,2,,,
0.14,-81.9854,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.15,-1.7431,-26.5842,1.2574,1.5665,4.72,1.83,1,2,,,
0.15,-81.8186,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.16,-1.743,-26.5715,1.2672,1.5665,4.72,1.83,1,2,,,
0.16,-81.6518,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.17,-1.7428,-26.5589,1.2769,1.5664,4.72,1.83,1,2,,,
0.17,-81.485,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.18,-1.7427,-26.5462,1.2866,1.5663,4.72,1.83,1,2,,,
0.18,-81.3182,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.19,-1.7425,-26.5332,1.2965,1.5663,4.72,1.83,1,2,,,
0.19,-81.1514,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.2,-1.7424,-26.5201,1.3064,1.5662,4.72,1.83,1,2,,,
0.2,-80.9849,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.21,-1.7422,-26.5071,1.3162,1.5661,4.72,1.83,1,2,,,
0.21,-80.8186,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
0.22,-1.742,-26.4938,1.3262,1.5661,4.72,1.83,1,2,,,
0.22,-80.6523,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
