Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Length (m),Width (m),Vehicle Number,TDM (s),MFD (m),EI (m/s)
0.0,-1.75045,-27.6016,0.000165593,1.570151,4.72,1.83,1,,,
0.0,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.0100026,-1.75045,-27.6016,0.005801806,1.570151,4.72,1.83,1,,,
0.0100026,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.0200051,-1.75045,-27.6015,0.00919575,1.570151,4.72,1.83,1,,,
0.0200051,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.0300077,-1.75045,-27.6014,0.0083685,1.570149255,4.72,1.83,1,,,
0.0300077,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.0400103,-1.75045,-27.6014,0.005891833,1.570149255,4.72,1.83,1,,,
0.0400103,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.0500128,-1.75045,-27.6013,0.002899,1.570149255,4.72,1.83,1,,,
0.0500128,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.0600154,-1.75045,-27.6013,0.000397067,1.570149255,4.72,1.83,1,,,
0.0600154,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.070018,-1.75045,-27.6013,-0.001160406,1.570151,4.72,1.83,1,,,
0.070018,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.0800205,-1.75045,-27.6013,-0.002101633,1.570151,4.72,1.83,1,,,
0.0800205,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.0900231,-1.75045,-27.6013,-0.002506644,1.570151,4.72,1.83,1,,,
0.0900231,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.100026,-1.75045,-27.6014,-0.002427592,1.570151,4.72,1.83,1,,,
0.100026,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.110028,-1.75045,-27.6014,-0.00198455,1.570151,4.72,1.83,1,,,
0.110028,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.120031,-1.75045,-27.6014,-0.001214367,1.570151,4.72,1.83,1,,,
0.120031,-148.57,-1.7,16.66666667,0.0,4.72,1.83,4,,,
